movie,title,genres,year,Rating,RottenTomato
108583,Fawlty Towers (1975,Comedy,-1980,1,54
32898,"Trip to the Moon, A (Voyage dans la lune, Le)",Action|Adventure|Fantasy|Sci-Fi,1902,7,80
7065,"Birth of a Nation, The",Drama|War,1915,6,92
7243,Intolerance: Love's Struggle Throughout the Ages,Drama,1915,4,82
62383,"20,000 Leagues Under the Sea",Action|Adventure|Sci-Fi,1915,9,92
8511,"Immigrant, The",Comedy,1917,4,59
3309,"Dog's Life, A",Comedy,1917,3,83
72626,"Billy Blazes, Esq.",Comedy|Western,1918,2,63
6987,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das)",Crime|Fantasy|Horror,1919,4,63
25737,"Golem, The (Golem, wie er in die Welt kam, Der)",Fantasy|Horror,1919,8,50
59945,"Mark of Zorro, The",Adventure|Romance|Western,1919,8,67
3310,"Kid, The",Comedy|Drama,1921,8,57
83096,"Haunted House, The",Comedy,1920,9,61
83318,"Goat, The",Comedy,1921,8,86
83322,"Boat, The",Comedy,1920,4,65
83359,"Play House, The",Comedy,1921,6,53
1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens)",Horror,1922,3,65
4768,"Dr. Mabuse: The Gambler (Dr. Mabuse, der Spieler)",Crime|Mystery|Thriller,1921,2,69
25744,Haxan: Witchcraft Through the Ages (a.k.a. The Witches),Documentary|Horror,1922,6,83
44587,Nanook of the North,Documentary|Drama,1922,2,77
83361,"Paleface, The",Comedy,1922,1,81
83411,Cops,Comedy,1921,4,85
3140,Three Ages,Comedy,1923,6,75
8235,Safety Last!,Action|Comedy|Romance,1923,7,96
8609,Our Hospitality,Comedy,1923,8,83
4405,"Last Laugh, The (Letzte Mann, Der)",Drama,1924,9,65
7074,"Navigator, The",Comedy,1924,2,68
7302,"Thief of Bagdad, The",Action|Adventure|Fantasy,1924,6,96
25750,Sherlock Jr.,Comedy|Fantasy|Romance,1923,2,59
25753,Greed,Drama,1923,6,65
3133,Go West,Comedy|Western,1924,10,54
3232,Seven Chances,Comedy,1925,6,84
3629,"Gold Rush, The",Adventure|Comedy|Romance,1925,5,90
3742,Battleship Potemkin,Drama|War,1925,1,97
